Ux,Uy,Uz,TA_1_1_1,T_SONIC_corr,PA,H2O_density,CO2_density
-0.3612696,0.8805298,-0.03194908,-12.20276,-11.18875,83.7319,1.452661,702.1288
-0.3542032,0.885421,-0.02990615,-12.20126,-11.21851,83.73129,1.446908,702.0007
-0.3605382,0.8846065,-0.0354959,-12.20126,-11.13629,83.73075,1.446031,702.2659
-0.3638064,0.8927676,-0.03516079,-12.20126,-11.23398,83.73168,1.444457,702.1306
-0.3755408,0.8901741,-0.03694861,-12.20126,-11.18826,83.73283,1.447164,702.406
-0.3696139,0.8804884,-0.03301045,-12.20126,-11.22437,83.73173,1.446095,702.1758
-0.3554459,0.8773128,-0.02405346,-12.20126,-11.20007,83.73283,1.447229,702.585
-0.3446202,0.871291,-0.01949407,-12.20126,-11.22031,83.73125,1.443536,702.3293
-0.353855,0.8781799,-0.02158882,-12.20126,-11.22406,83.73036,1.446516,702.4835
-0.367575,0.883081,-0.02718203,-12.20126,-11.23343,83.73048,1.44699,702.3964
-0.3775294,0.8954808,-0.02836292,-12.20126,-11.18906,83.73125,1.450127,702.2051
-0.3445269,0.8729654,-0.0203737,-12.20126,-11.2438,83.73036,1.450007,702.0939
-0.3483379,0.8833494,-0.01742914,-12.20126,-11.20062,83.73078,1.449345,701.7868
-0.3530081,0.8801696,-0.01751674,-12.20126,-11.14343,83.73241,1.451987,701.9304
-0.3491232,0.8823823,-0.01257007,-12.20126,-11.09363,83.73104,1.450444,701.6351
-0.3373619,0.8688174,-0.01111163,-12.20126,-11.11624,83.73004,1.454794,701.9073
-0.3476168,0.8782973,-0.01309821,-12.20126,-10.9917,83.73099,1.459171,701.3774
-0.3215349,0.8593026,-0.008503813,-12.20126,-11.01514,83.73325,1.461413,701.4792
-0.3208355,0.8648226,-0.008214223,-12.20126,-11.01666,83.72985,1.460999,701.1097
-0.3281184,0.8693171,-0.01304974,-12.20126,-11.00876,83.73093,1.464334,700.9929
-0.3331146,0.8801482,-0.01501472,-12.20126,-10.93475,83.73177,1.468566,701.0351
-0.3324089,0.8784922,-0.01767893,-12.2009,-10.88712,83.73263,1.464499,700.9615
-0.3337547,0.8837634,-0.01846893,-12.2009,-10.97049,83.73257,1.470033,701.0768
-0.3235624,0.8740981,-0.01655417,-12.2009,-10.93423,83.73044,1.465607,700.6548
-0.3295824,0.8777968,-0.01726744,-12.2009,-10.90353,83.73089,1.470502,700.886
-0.3363171,0.8756055,-0.01985689,-12.2009,-10.87265,83.73028,1.468218,700.9016
-0.3441871,0.8807626,-0.0196941,-12.2009,-10.86301,83.73176,1.469008,701.0533
-0.3391206,0.8717714,-0.01641957,-12.2009,-10.83945,83.73093,1.470987,700.646
-0.3376772,0.8733429,-0.01118769,-12.2009,-10.87726,83.73168,1.468244,700.5841
-0.3297604,0.865518,-0.007894358,-12.2009,-10.91724,83.73145,1.468468,700.7877
-0.3326819,0.8728337,-0.006901069,-12.2009,-10.83649,83.73174,1.467171,700.8355
-0.3469238,0.8828985,-0.01179921,-12.2009,-10.96082,83.7316,1.467022,700.8591
-0.3441222,0.8878815,-0.01146857,-12.2009,-10.94321,83.73225,1.46608,700.7396
-0.3430735,0.8835175,-0.0141403,-12.2009,-10.97433,83.73243,1.469632,700.7586
-0.3378778,0.8862677,-0.01296073,-12.2009,-10.91876,83.73203,1.465521,701.2126
-0.3299499,0.8782354,-0.01230435,-12.2009,-10.95114,83.73206,1.466546,701.0147
-0.3159029,0.8757163,-0.006535736,-12.2009,-10.98218,83.73185,1.465875,701.1155
-0.3411639,0.8841313,-0.01357271,-12.2009,-10.96707,83.73067,1.46199,700.9476
-0.3401785,0.8891518,-0.01051006,-12.2009,-10.93103,83.73237,1.466434,701.066
-0.3345011,0.8794869,-0.01086788,-12.2009,-10.92569,83.73158,1.462604,700.5356
-0.3361334,0.8862953,-0.009325677,-12.2009,-10.98322,83.73234,1.466303,701.2313
-0.3379286,0.8821062,-0.01073467,-12.19995,-11.01132,83.73187,1.462659,700.7993
-0.3438075,0.8898974,-0.009702156,-12.19995,-10.99936,83.73095,1.465127,701.0762
-0.3340685,0.8831021,-0.00928977,-12.19995,-11.02911,83.73286,1.458534,701.0199
-0.3388132,0.8920493,-0.01062799,-12.19995,-11.01059,83.73038,1.464345,701.3755
-0.3292628,0.8837697,-0.00757062,-12.19995,-11.00864,83.73348,1.465178,700.8836
-0.3399962,0.8884608,-0.00820675,-12.19995,-11.022,83.73279,1.462719,701.2289
-0.3236321,0.8730469,-0.005366597,-12.19995,-11.05173,83.73264,1.465842,701.1083
-0.3331644,0.8782741,-0.009326077,-12.19995,-10.97571,83.73154,1.463727,700.9821
-0.3330895,0.879217,-0.01100803,-12.19995,-10.97305,83.73196,1.465824,700.9815
-0.3325042,0.8785664,-0.01234123,-12.19995,-10.98849,83.73135,1.462954,700.8401
-0.3257323,0.8762238,-0.009639272,-12.19995,-10.98779,83.72939,1.466751,700.9735
-0.3304322,0.8770875,-0.009553778,-12.19995,-10.9729,83.73145,1.463289,701.0881
